"","nz","prop_for_tab","p_raw","se_p_raw","harv_for_tab","c_raw","se_c_raw"
"3 1,1  M",3,"0.3 (0.1)%",0.00255278180133938,0.00148637893041533,"383 (223)",383.491646106208,223.291274821643
"3 1,1 total",3,"0.3 (0.1)%",0.00255278180133938,0.00148637893041533,"383 (223)",383.491646106208,223.291274821643
"4 0,3  M",7,"0.5 (0.2)%",0.00512140000059965,0.00209443634677028,"769 (315)",769.362315090083,314.636700193566
"4 0,3 F",5,"0.2 (0.1)%",0.00209225117781137,0.0011447477153718,"314 (172)",314.308433186713,171.969725541729
"4 0,3 total",12,"0.7 (0.2)%",0.00721365117841102,0.00238650754544065,"1084 (359)",1083.6707482768,358.513096013821
"4 1,2  M",251,"16.1 (1)%",0.160507287856224,0.0102926143922618,"24112 (1546)",24112.2073182013,1546.20799707753
"4 1,2 F",224,"13.4 (0.9)%",0.133860090881199,0.00942697454392007,"20109 (1416)",20109.1321526281,1416.16725086039
"4 1,2 total",475,"29.4 (1.3)%",0.294367378737423,0.0126321531123417,"44221 (1898)",44221.3394708294,1897.66520130153
"5 1,3  M",416,"25.1 (1.2)%",0.251220067173425,0.0120634448214277,"37740 (1812)",37739.5345911277,1812.23099829897
"5 1,3 F",523,"33.6 (1.3)%",0.335508101314667,0.0131966470433998,"50402 (1982)",50401.7045199959,1982.46630209474
"5 1,3 total",939,"58.7 (1.4)%",0.586728168488092,0.0135756381946118,"88141 (2039)",88141.2391111236,2039.40024778556
"5 2,2  M",22,"1.5 (0.4)%",0.0151163963445811,0.00358084501516678,"2271 (538)",2270.8606408647,537.932442403429
"5 2,2 F",39,"3 (0.5)%",0.029863604605225,0.00507892517480262,"4486 (763)",4486.26000181993,762.981534384724
"5 2,2 total",61,"4.5 (0.6)%",0.0449800009498062,0.00611166962425229,"6757 (918)",6757.12064268463,918.125569303301
"6 1,4  M",8,"0.4 (0.2)%",0.00364732607878752,0.00157557650555818,"548 (237)",547.919560185855,236.690980547477
"6 1,4 F",8,"0.4 (0.2)%",0.00415053485482594,0.00173304263499555,"624 (260)",623.514098566226,260.346329842206
"6 1,4 total",16,"0.8 (0.2)%",0.00779786093361346,0.00233747448221205,"1171 (351)",1171.43365875208,351.147104090305
"6 2,3  M",38,"1.9 (0.4)%",0.0194663045535977,0.0036584142261533,"2924 (550)",2924.32560156422,549.585277123879
"6 2,3 F",62,"3.7 (0.5)%",0.0366230875563708,0.00520963673827606,"5502 (783)",5501.7033281558,782.617679007522
"6 2,3 total",100,"5.6 (0.6)%",0.0560893921099685,0.00628800216693238,"8426 (945)",8426.02892972002,944.615125527416
"7 2,4  M",1,"0 (0)%",0.000270765801346012,0.000270765801346012,"41 (41)",40.6757925072046,40.6757925072046
"7 2,4 total",1,"0 (0)%",0.000270765801346012,0.000270765801346012,"41 (41)",40.6757925072046,40.6757925072046
" M",746,"45.8 (1.4)%",0.457902329609901,0.0139744931228377,"68788 (2099)",68788.3774656473,2099.3182293783
"F",861,"54.2 (1.4)%",0.542097670390099,0.0139744931228377,"81437 (2099)",81436.6225343527,2099.3182293783
" M1",788,"45.8 (1.4)%",0.458214489748973,0.0135591961474862,"68835 (2037)",68835.2717225394,2036.93024125612
"F1",904,"54.2 (1.4)%",0.541785510251027,0.0135591961474862,"81390 (2037)",81389.7282774606,2036.93024125612
