"","nz","prop_for_tab","p_raw","se_p_raw","harv_for_tab","c_raw","se_c_raw"
"3 1.1  M",4,"0.2 (0.1)%",0.00223222284368486,0.00124924172137407,"315 (176)",315.113969951617,176.350456839492
"3 1.1 F",1,"0 (0)%",0.000275652262391279,0.000275652262391279,"39 (39)",38.9127272727273,38.9127272727273
"3 1.1 total",5,"0.3 (0.1)%",0.00250787510607614,0.00127918430677339,"354 (181)",354.026697224344,180.577331849972
"4 0.3  M",1,"0.1 (0.1)%",0.000739327830513404,0.000739327830513404,"104 (104)",104.367952522255,104.367952522255
"4 0.3 F",1,"0.1 (0.1)%",0.000739327830513404,0.000739327830513404,"104 (104)",104.367952522255,104.367952522255
"4 0.3 total",2,"0.1 (0.1)%",0.00147865566102681,0.00104401038162344,"209 (147)",208.73590504451,147.378769532255
"4 1.2  M",234,"12.1 (0.8)%",0.121079352245915,0.00831416183876905,"17092 (1174)",17092.2878391469,1173.67697013167
"4 1.2 F",216,"10.6 (0.8)%",0.106428308564027,0.00775995042575005,"15024 (1095)",15024.0586067494,1095.44116180143
"4 1.2 total",450,"22.8 (1.1)%",0.227507660809942,0.0106301715846385,"32116 (1501)",32116.3464458962,1500.61880191708
"5 1.3  M",590,"28.4 (1.1)%",0.284496445459296,0.0112600234949066,"40161 (1590)",40161.225219707,1589.53247668199
"5 1.3 F",702,"33 (1.2)%",0.329686031036339,0.0117215872775619,"46540 (1655)",46540.4582572758,1654.6895896243
"5 1.3 total",1292,"61.4 (1.2)%",0.614182476495635,0.0124003949159931,"86702 (1751)",86701.6834769828,1750.51414871108
"5 2.2  M",21,"1.5 (0.3)%",0.0150663644062607,0.00336512374379763,"2127 (475)",2126.8583977742,475.041058416936
"5 2.2 F",25,"1.7 (0.3)%",0.0167178190289793,0.0034916982732592,"2360 (493)",2359.9876410449,492.909078442908
"5 2.2 total",46,"3.2 (0.5)%",0.03178418343524,0.00479342679739676,"4487 (677)",4486.84603881909,676.668887281311
"6 1.4  M",1,"0.1 (0.1)%",0.000840459159451151,0.000840459159451151,"119 (119)",118.644257703081,118.644257703081
"6 1.4 F",1,"0 (0)%",0.000275652262391279,0.000275652262391279,"39 (39)",38.9127272727273,38.9127272727273
"6 1.4 total",2,"0.1 (0.1)%",0.00111611142184243,0.000884508772408033,"158 (125)",157.556984975809,124.862565365752
"6 2.3  M",62,"4.4 (0.6)%",0.0442462364497412,0.00566519444711095,"6246 (800)",6246.06421466417,799.732839320865
"6 2.3 F",113,"7.6 (0.7)%",0.0763363414610457,0.00719671455036042,"10776 (1016)",10776.09597869,1015.93140621618
"6 2.3 total",175,"12.1 (0.9)%",0.120582577910787,0.00879354098509195,"17022 (1241)",17022.1601933542,1241.34900670149
"7 2.4  M",1,"0.1 (0.1)%",0.000840459159451151,0.000840459159451151,"119 (119)",118.644257703081,118.644257703081
"7 2.4 total",1,"0.1 (0.1)%",0.000840459159451151,0.000840459159451151,"119 (119)",118.644257703081,118.644257703081
" M",914,"47 (1.3)%",0.469540867554313,0.0126088198829878,"66283 (1780)",66283.2061091722,1779.93666760186
"F",1059,"53 (1.3)%",0.530459132445687,0.0126088198829878,"74883 (1780)",74882.7938908278,1779.93666760186
" M1",1009,"46.8 (1.2)%",0.467915732602274,0.0118583205847817,"66054 (1674)",66053.7923085327,1673.99168367129
"F1",1163,"53.2 (1.2)%",0.532084267397725,0.0118583205847817,"75112 (1674)",75112.2076914673,1673.99168367129
